500 games Roxanne against DynamicRoxanne for Roxanne: black and DynamicRoxanne: white.
"In first two columns winner gets 1 looser 0"

DynamicRoxanne_Winning,Roxanne_Winning,Discs_DynamicRoxanne,Discs_Roxanne
1,0,46,18
0,1,16,48
0,1,24,40
1,0,50,14
0,1,22,42
1,0,40,24
0,1,12,52
0,1,27,37
1,0,38,26
1,0,50,14
1,0,35,29
1,0,41,23
0,1,18,46
0,1,31,33
1,0,33,31
1,0,48,16
0,1,18,46
0,1,29,35
1,0,55,9
0,0,32,32
1,0,46,18
1,0,49,15
1,0,43,21
1,0,41,23
0,1,21,43
0,1,24,40
0,0,32,32
0,1,17,47
1,0,48,16
1,0,36,28
0,1,7,57
0,1,4,60
1,0,44,20
1,0,39,25
1,0,52,12
0,1,28,36
1,0,49,15
1,0,50,14
0,1,24,40
1,0,39,25
0,1,19,45
0,0,32,32
0,1,20,44
0,1,27,37
1,0,35,29
1,0,33,31
0,1,0,64
1,0,42,22
1,0,41,23
0,1,29,35
0,0,32,32
1,0,42,22
1,0,52,12
0,1,29,35
0,1,31,33
1,0,38,26
0,1,25,39
1,0,37,27
1,0,33,31
1,0,43,21
0,1,21,43
0,1,30,34
1,0,34,30
1,0,49,15
1,0,40,24
0,1,20,44
0,1,12,52
1,0,33,31
0,1,26,38
1,0,49,15
0,1,30,34
0,1,18,46
0,1,28,36
1,0,38,26
1,0,43,21
0,1,15,49
1,0,45,19
0,1,14,50
1,0,43,21
1,0,33,31
1,0,44,20
0,1,16,48
1,0,35,29
1,0,35,29
0,1,19,45
0,1,17,47
1,0,48,16
1,0,54,10
1,0,50,14
1,0,51,13
1,0,40,24
1,0,34,30
1,0,42,22
1,0,55,9
1,0,42,22
1,0,50,14
0,1,23,41
0,1,25,39
1,0,34,30
1,0,50,14
1,0,44,20
1,0,45,19
0,1,27,37
1,0,52,12
0,1,28,36
0,1,31,33
0,1,30,34
1,0,34,30
0,1,23,41
1,0,40,24
1,0,36,28
1,0,35,29
0,1,28,36
1,0,41,23
1,0,36,28
0,0,32,32
1,0,50,14
1,0,45,19
1,0,40,24
1,0,40,24
1,0,39,25
1,0,49,15
1,0,47,17
1,0,42,22
0,1,28,36
1,0,46,18
1,0,46,18
1,0,36,28
0,0,32,32
1,0,44,20
1,0,42,22
0,1,27,37
0,1,25,39
1,0,42,22
0,1,23,41
0,1,19,45
0,0,32,32
0,1,23,41
1,0,34,30
1,0,39,25
1,0,35,29
1,0,37,27
1,0,37,27
1,0,36,28
1,0,41,23
0,1,24,40
1,0,49,15
0,1,23,41
1,0,47,17
0,1,21,43
1,0,42,22
1,0,43,21
1,0,41,23
1,0,53,11
1,0,49,15
1,0,47,17
1,0,44,20
1,0,37,27
1,0,35,29
1,0,43,21
1,0,51,13
1,0,34,30
1,0,54,10
1,0,44,20
1,0,44,20
1,0,43,21
0,1,11,53
1,0,34,30
1,0,48,16
1,0,46,18
1,0,34,30
0,1,23,41
0,1,14,50
1,0,37,27
0,1,13,51
1,0,49,15
0,1,30,34
0,1,17,47
1,0,37,27
1,0,51,13
1,0,47,17
1,0,38,26
1,0,41,23
0,1,0,64
1,0,34,30
1,0,48,16
1,0,34,30
1,0,45,19
1,0,48,16
1,0,49,15
1,0,36,28
0,1,19,45
1,0,54,10
1,0,45,19
0,1,26,38
1,0,41,23
1,0,38,26
1,0,47,17
0,1,31,33
1,0,44,20
1,0,43,21
1,0,36,28
1,0,43,21
0,1,22,42
1,0,35,29
1,0,34,30
0,1,16,48
1,0,39,25
1,0,38,26
1,0,38,26
1,0,44,20
0,1,26,38
0,1,20,44
1,0,43,21
0,1,30,34
0,1,17,47
1,0,42,22
1,0,36,28
1,0,41,23
1,0,41,23
0,1,22,42
1,0,58,6
0,1,15,49
1,0,57,7
1,0,51,13
1,0,46,18
1,0,45,19
0,1,26,38
1,0,44,20
0,1,22,42
1,0,33,31
0,1,27,37
0,1,31,33
0,1,26,38
0,1,24,40
1,0,33,31
0,1,26,38
1,0,40,24
1,0,48,16
1,0,56,8
0,1,26,38
0,1,17,47
1,0,42,22
0,1,26,38
1,0,40,24
1,0,34,30
0,0,32,32
0,1,25,39
0,1,7,57
0,1,30,34
0,1,21,43
1,0,41,23
0,1,16,48
1,0,39,25
1,0,46,18
0,1,25,39
1,0,39,25
0,1,31,33
0,1,29,35
0,1,30,34
0,1,29,35
0,1,0,64
1,0,40,24
1,0,47,17
1,0,37,27
0,1,15,49
0,1,24,40
1,0,45,19
1,0,33,31
1,0,45,19
1,0,53,11
1,0,46,18
1,0,43,21
0,1,16,48
1,0,48,16
1,0,40,24
1,0,51,13
0,1,29,35
1,0,41,23
0,1,23,41
1,0,45,19
1,0,36,28
0,1,20,44
1,0,38,26
0,1,17,47
1,0,46,18
1,0,39,25
0,1,26,38
1,0,38,26
1,0,40,24
1,0,37,27
1,0,43,21
1,0,39,25
1,0,42,22
0,1,24,40
1,0,37,27
0,1,25,39
0,1,29,35
1,0,49,15
1,0,39,25
1,0,41,23
0,1,23,41
1,0,34,30
1,0,52,12
1,0,35,29
1,0,35,29
1,0,36,28

Results for DynamicRoxanne black and Roxanne white:
Information,DynamicRoxanne,Roxanne,Draw
total wins,246,237,17
percentage wins,0.492,0.474,0.034
disc difference winnig,20.463414634146343,17.52742616033755

Results for DynamicRoxanne white and Roxanne black:
Information,DynamicRoxanne,Roxanne,Draw
total wins,317,172,11
percentage wins,0.634,0.344,0.022
disc difference winnig,21.160883280757098,19.08139534883721

Total Results:
Information,DynamicRoxanne,Roxanne,Draw
total wins,563,409,28
percentage wins,0.563,0.409,0.028
disc difference winnig,20.856127886323268,18.18092909535452
